ID,Region,Industry Sector,Industry Category,Gas,Units,Magnitude,Amount
63,Auckland,"Transport, postal, and warehousing","Road, rail, water, and other transport services",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,454.54
64,Auckland,"Transport, postal, and warehousing","Road, rail, water, and other transport services",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,481.76
65,Auckland,"Transport, postal, and warehousing","Road, rail, water, and other transport services",Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,484.11
66,Auckland,Wholesale and retail trade and accommodation and food services,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,329.1
67,Auckland,Wholesale and retail trade and accommodation and food services,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,329.22
68,Auckland,Wholesale and retail trade and accommodation and food services,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,321.43
69,Auckland,Wholesale and retail trade and accommodation and food services,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,339.43
70,Auckland,Wholesale and retail trade and accommodation and food services,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,338.07
71,Auckland,Wholesale and retail trade and accommodation and food services,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,333.44
72,Auckland,Wholesale and retail trade and accommodation and food services,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,351.1
73,Auckland,Wholesale and retail trade and accommodation and food services,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,361.57
74,Auckland,Wholesale and retail trade and accommodation and food services,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,368.65
75,Auckland,Wholesale and retail trade and accommodation and food services,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,388.83
76,Auckland,Wholesale and retail trade and accommodation and food services,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,425.16
77,Auckland,Wholesale and retail trade and accommodation and food services,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,435.83
78,Auckland,Wholesale and retail trade and accommodation and food services,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,436.23
79,Auckland,"Transport, postal, and warehousing",Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,724.94
80,Auckland,"Transport, postal, and warehousing",Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,761.89
81,Auckland,"Transport, postal, and warehousing",Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,711.31
82,Auckland,"Transport, postal, and warehousing",Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,694.34
83,Auckland,"Transport, postal, and warehousing",Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,728
84,Auckland,"Transport, postal, and warehousing",Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,669.1
85,Auckland,"Transport, postal, and warehousing",Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,694.69
86,Auckland,"Transport, postal, and warehousing",Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,678.33
87,Auckland,"Transport, postal, and warehousing",Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,750.19
88,Auckland,"Transport, postal, and warehousing",Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,750.01
89,Auckland,"Transport, postal, and warehousing",Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,796.08
90,Auckland,"Transport, postal, and warehousing",Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,849.34
91,Auckland,"Transport, postal, and warehousing",Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,835.22
92,Auckland,Total all industries,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,8866.21
93,Auckland,Total all industries,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,8535.42
94,Auckland,Total all industries,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,7680.06
95,Auckland,Total all industries,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,8041.56
96,Auckland,Total all industries,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,7820.79
97,Auckland,Total all industries,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,7635.12
98,Auckland,Total all industries,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,7974.85
99,Auckland,Total all industries,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,7875.24
100,Auckland,Total all industries,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,8159.75
101,Auckland,Total all industries,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,7696.69
102,Auckland,Total all industries,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,7851.7
103,Auckland,Total all industries,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,7692.93
104,Auckland,Total all industries,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,7890.67
105,Auckland,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,11714.9
106,Auckland,Total,Total,Carbon dioxide,Kilotonnes,Carbon dioxide equivalents,9735.58
107,Auckland,Total,Total,Methane,Kilotonnes,Carbon dioxide equivalents,1476.36
108,Auckland,Total,Total,Nitrous oxide,Kilotonnes,Carbon dioxide equivalents,264.43
109,Auckland,Total,Total,Fluorinated gases,Kilotonnes,Carbon dioxide equivalents,238.41
110,Auckland,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,11302.7
111,Auckland,Total,Total,Carbon dioxide,Kilotonnes,Carbon dioxide equivalents,9359.98
112,Auckland,Total,Total,Methane,Kilotonnes,Carbon dioxide equivalents,1409.34
113,Auckland,Total,Total,Nitrous oxide,Kilotonnes,Carbon dioxide equivalents,263.96
114,Auckland,Total,Total,Fluorinated gases,Kilotonnes,Carbon dioxide equivalents,269.28
115,Auckland,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,10430.93
116,Auckland,Total,Total,Carbon dioxide,Kilotonnes,Carbon dioxide equivalents,8672.52
117,Auckland,Total,Total,Methane,Kilotonnes,Carbon dioxide equivalents,1245.52
118,Auckland,Total,Total,Nitrous oxide,Kilotonnes,Carbon dioxide equivalents,244.42
119,Auckland,Total,Total,Fluorinated gases,Kilotonnes,Carbon dioxide equivalents,268.33
120,Auckland,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,10831.68
121,Auckland,Total,Total,Carbon dioxide,Kilotonnes,Carbon dioxide equivalents,9098.51
122,Auckland,Total,Total,Methane,Kilotonnes,Carbon dioxide equivalents,1203.3
123,Auckland,Total,Total,Nitrous oxide,Kilotonnes,Carbon dioxide equivalents,245.5
124,Auckland,Total,Total,Fluorinated gases,Kilotonnes,Carbon dioxide equivalents,284.24
125,Auckland,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,10611.1
126,Auckland,Total,Total,Carbon dioxide,Kilotonnes,Carbon dioxide equivalents,8773.35
127,Auckland,Total,Total,Methane,Kilotonnes,Carbon dioxide equivalents,1256.64
128,Auckland,Total,Total,Nitrous oxide,Kilotonnes,Carbon dioxide equivalents,258.63
129,Auckland,Total,Total,Fluorinated gases,Kilotonnes,Carbon dioxide equivalents,322.34
130,Auckland,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,10425.39
131,Auckland,Total,Total,Carbon dioxide,Kilotonnes,Carbon dioxide equivalents,8637.6
132,Auckland,Total,Total,Methane,Kilotonnes,Carbon dioxide equivalents,1194.59
133,Auckland,Total,Total,Nitrous oxide,Kilotonnes,Carbon dioxide equivalents,247.19
134,Auckland,Total,Total,Fluorinated gases,Kilotonnes,Carbon dioxide equivalents,345.89
135,Auckland,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,10781.57
136,Auckland,Total,Total,Carbon dioxide,Kilotonnes,Carbon dioxide equivalents,9002.23
137,Auckland,Total,Total,Methane,Kilotonnes,Carbon dioxide equivalents,1170.08
138,Auckland,Total,Total,Nitrous oxide,Kilotonnes,Carbon dioxide equivalents,242.16
139,Auckland,Total,Total,Fluorinated gases,Kilotonnes,Carbon dioxide equivalents,366.96
140,Auckland,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,10735.97
141,Auckland,Total,Total,Carbon dioxide,Kilotonnes,Carbon dioxide equivalents,8988.87
142,Auckland,Total,Total,Methane,Kilotonnes,Carbon dioxide equivalents,1139.15
143,Auckland,Total,Total,Nitrous oxide,Kilotonnes,Carbon dioxide equivalents,236.05
144,Auckland,Total,Total,Fluorinated gases,Kilotonnes,Carbon dioxide equivalents,371.72
145,Auckland,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,11172.28
146,Auckland,Total,Total,Carbon dioxide,Kilotonnes,Carbon dioxide equivalents,9292.5
147,Auckland,Total,Total,Methane,Kilotonnes,Carbon dioxide equivalents,1204.8
148,Auckland,Total,Total,Nitrous oxide,Kilotonnes,Carbon dioxide equivalents,251.65
149,Auckland,Total,Total,Fluorinated gases,Kilotonnes,Carbon dioxide equivalents,423.16
150,Auckland,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,10823.53
151,Auckland,Total,Total,Carbon dioxide,Kilotonnes,Carbon dioxide equivalents,8760.67
152,Auckland,Total,Total,Methane,Kilotonnes,Carbon dioxide equivalents,1304.93
153,Auckland,Total,Total,Nitrous oxide,Kilotonnes,Carbon dioxide equivalents,287.6
154,Auckland,Total,Total,Fluorinated gases,Kilotonnes,Carbon dioxide equivalents,470.22
155,Auckland,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,11165.62
156,Auckland,Total,Total,Carbon dioxide,Kilotonnes,Carbon dioxide equivalents,9165.78
157,Auckland,Total,Total,Methane,Kilotonnes,Carbon dioxide equivalents,1230.74
158,Auckland,Total,Total,Nitrous oxide,Kilotonnes,Carbon dioxide equivalents,260.81
159,Auckland,Total,Total,Fluorinated gases,Kilotonnes,Carbon dioxide equivalents,508.18
160,Auckland,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,11047.06
161,Auckland,Total,Total,Carbon dioxide,Kilotonnes,Carbon dioxide equivalents,9067.96
162,Auckland,Total,Total,Methane,Kilotonnes,Carbon dioxide equivalents,1147.22
163,Auckland,Total,Total,Nitrous oxide,Kilotonnes,Carbon dioxide equivalents,256.31
164,Auckland,Total,Total,Fluorinated gases,Kilotonnes,Carbon dioxide equivalents,575.45
165,Auckland,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,11201.47
166,Auckland,Total,Total,Carbon dioxide,Kilotonnes,Carbon dioxide equivalents,9200.27
167,Auckland,Total,Total,Methane,Kilotonnes,Carbon dioxide equivalents,1183.79
168,Auckland,Total,Total,Nitrous oxide,Kilotonnes,Carbon dioxide equivalents,273.84
169,Auckland,Total,Total,Fluorinated gases,Kilotonnes,Carbon dioxide equivalents,543.46
170,Auckland,"Telecommunications, finance, rental, professional, administrative, arts and other services",Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,380.46
171,Auckland,"Telecommunications, finance, rental, professional, administrative, arts and other services",Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,391.4
172,Auckland,"Telecommunications, finance, rental, professional, administrative, arts and other services",Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,384.24
173,Auckland,"Telecommunications, finance, rental, professional, administrative, arts and other services",Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,392.37
174,Auckland,"Telecommunications, finance, rental, professional, administrative, arts and other services",Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,375.78
175,Auckland,"Telecommunications, finance, rental, professional, administrative, arts and other services",Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,364.11
176,Auckland,"Telecommunications, finance, rental, professional, administrative, arts and other services",Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,366.13
177,Auckland,"Telecommunications, finance, rental, professional, administrative, arts and other services",Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,373.53
178,Auckland,"Telecommunications, finance, rental, professional, administrative, arts and other services",Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,382.66
179,Auckland,"Telecommunications, finance, rental, professional, administrative, arts and other services",Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,395.16
180,Auckland,"Telecommunications, finance, rental, professional, administrative, arts and other services",Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,398.07
181,Auckland,"Telecommunications, finance, rental, professional, administrative, arts and other services",Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,383.09
182,Auckland,"Telecommunications, finance, rental, professional, administrative, arts and other services",Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,393.1
183,Auckland,Service industries,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,1813.93
