"","id","Data.source.citation","Species","Authority","Common.Name","Location.of.population","Country.list","Region","Are.coordinates.for.specific.location.","biome","realm","Units","Sampling.method","Data.transformed","year","pop","scalepop"
"31",8405," Erkinaro, J. and E. Niemel<ed>_ (2008). Juvenille Atlantic Salmon Densities in the River Teno, Finland (Finnish Game and Fisheries Research Institute). Data sent by Christoph Zockler (UNEP-WCMC).","Salmo salar","Linnaeus, 1758","Atlantic salmon","Teno River","Finland","Europe",TRUE,"Polar freshwaters","Palearctic","Individuals per 100m<8c>_","Density counts","No",1992,52.8,0.66859344894027
"32",8405," Erkinaro, J. and E. Niemel<ed>_ (2008). Juvenille Atlantic Salmon Densities in the River Teno, Finland (Finnish Game and Fisheries Research Institute). Data sent by Christoph Zockler (UNEP-WCMC).","Salmo salar","Linnaeus, 1758","Atlantic salmon","Teno River","Finland","Europe",TRUE,"Polar freshwaters","Palearctic","Individuals per 100m<8c>_","Density counts","No",1993,27.5,-0.30635838150289
"33",8405," Erkinaro, J. and E. Niemel<ed>_ (2008). Juvenille Atlantic Salmon Densities in the River Teno, Finland (Finnish Game and Fisheries Research Institute). Data sent by Christoph Zockler (UNEP-WCMC).","Salmo salar","Linnaeus, 1758","Atlantic salmon","Teno River","Finland","Europe",TRUE,"Polar freshwaters","Palearctic","Individuals per 100m<8c>_","Density counts","No",1994,55.7,0.780346820809249
"34",8405," Erkinaro, J. and E. Niemel<ed>_ (2008). Juvenille Atlantic Salmon Densities in the River Teno, Finland (Finnish Game and Fisheries Research Institute). Data sent by Christoph Zockler (UNEP-WCMC).","Salmo salar","Linnaeus, 1758","Atlantic salmon","Teno River","Finland","Europe",TRUE,"Polar freshwaters","Palearctic","Individuals per 100m<8c>_","Density counts","No",1995,33.1,-0.0905587668593448
"35",8405," Erkinaro, J. and E. Niemel<ed>_ (2008). Juvenille Atlantic Salmon Densities in the River Teno, Finland (Finnish Game and Fisheries Research Institute). Data sent by Christoph Zockler (UNEP-WCMC).","Salmo salar","Linnaeus, 1758","Atlantic salmon","Teno River","Finland","Europe",TRUE,"Polar freshwaters","Palearctic","Individuals per 100m<8c>_","Density counts","No",1996,24.8,-0.410404624277457
"36",8405," Erkinaro, J. and E. Niemel<ed>_ (2008). Juvenille Atlantic Salmon Densities in the River Teno, Finland (Finnish Game and Fisheries Research Institute). Data sent by Christoph Zockler (UNEP-WCMC).","Salmo salar","Linnaeus, 1758","Atlantic salmon","Teno River","Finland","Europe",TRUE,"Polar freshwaters","Palearctic","Individuals per 100m<8c>_","Density counts","No",1997,19.2,-0.626204238921002
"37",8405," Erkinaro, J. and E. Niemel<ed>_ (2008). Juvenille Atlantic Salmon Densities in the River Teno, Finland (Finnish Game and Fisheries Research Institute). Data sent by Christoph Zockler (UNEP-WCMC).","Salmo salar","Linnaeus, 1758","Atlantic salmon","Teno River","Finland","Europe",TRUE,"Polar freshwaters","Palearctic","Individuals per 100m<8c>_","Density counts","No",1998,19.1,-0.630057803468208
"38",8405," Erkinaro, J. and E. Niemel<ed>_ (2008). Juvenille Atlantic Salmon Densities in the River Teno, Finland (Finnish Game and Fisheries Research Institute). Data sent by Christoph Zockler (UNEP-WCMC).","Salmo salar","Linnaeus, 1758","Atlantic salmon","Teno River","Finland","Europe",TRUE,"Polar freshwaters","Palearctic","Individuals per 100m<8c>_","Density counts","No",1999,19,-0.633911368015414
"39",8405," Erkinaro, J. and E. Niemel<ed>_ (2008). Juvenille Atlantic Salmon Densities in the River Teno, Finland (Finnish Game and Fisheries Research Institute). Data sent by Christoph Zockler (UNEP-WCMC).","Salmo salar","Linnaeus, 1758","Atlantic salmon","Teno River","Finland","Europe",TRUE,"Polar freshwaters","Palearctic","Individuals per 100m<8c>_","Density counts","No",2000,22.9,-0.483622350674374
"40",8405," Erkinaro, J. and E. Niemel<ed>_ (2008). Juvenille Atlantic Salmon Densities in the River Teno, Finland (Finnish Game and Fisheries Research Institute). Data sent by Christoph Zockler (UNEP-WCMC).","Salmo salar","Linnaeus, 1758","Atlantic salmon","Teno River","Finland","Europe",TRUE,"Polar freshwaters","Palearctic","Individuals per 100m<8c>_","Density counts","No",2001,47.6,0.468208092485549
"41",8405," Erkinaro, J. and E. Niemel<ed>_ (2008). Juvenille Atlantic Salmon Densities in the River Teno, Finland (Finnish Game and Fisheries Research Institute). Data sent by Christoph Zockler (UNEP-WCMC).","Salmo salar","Linnaeus, 1758","Atlantic salmon","Teno River","Finland","Europe",TRUE,"Polar freshwaters","Palearctic","Individuals per 100m<8c>_","Density counts","No",2002,59.3,0.91907514450867
"42",8405," Erkinaro, J. and E. Niemel<ed>_ (2008). Juvenille Atlantic Salmon Densities in the River Teno, Finland (Finnish Game and Fisheries Research Institute). Data sent by Christoph Zockler (UNEP-WCMC).","Salmo salar","Linnaeus, 1758","Atlantic salmon","Teno River","Finland","Europe",TRUE,"Polar freshwaters","Palearctic","Individuals per 100m<8c>_","Density counts","No",2003,61.4,1
"43",8405," Erkinaro, J. and E. Niemel<ed>_ (2008). Juvenille Atlantic Salmon Densities in the River Teno, Finland (Finnish Game and Fisheries Research Institute). Data sent by Christoph Zockler (UNEP-WCMC).","Salmo salar","Linnaeus, 1758","Atlantic salmon","Teno River","Finland","Europe",TRUE,"Polar freshwaters","Palearctic","Individuals per 100m<8c>_","Density counts","No",2004,59.3,0.91907514450867
"44",8405," Erkinaro, J. and E. Niemel<ed>_ (2008). Juvenille Atlantic Salmon Densities in the River Teno, Finland (Finnish Game and Fisheries Research Institute). Data sent by Christoph Zockler (UNEP-WCMC).","Salmo salar","Linnaeus, 1758","Atlantic salmon","Teno River","Finland","Europe",TRUE,"Polar freshwaters","Palearctic","Individuals per 100m<8c>_","Density counts","No",2005,29.6,-0.225433526011561
"45",8405," Erkinaro, J. and E. Niemel<ed>_ (2008). Juvenille Atlantic Salmon Densities in the River Teno, Finland (Finnish Game and Fisheries Research Institute). Data sent by Christoph Zockler (UNEP-WCMC).","Salmo salar","Linnaeus, 1758","Atlantic salmon","Teno River","Finland","Europe",TRUE,"Polar freshwaters","Palearctic","Individuals per 100m<8c>_","Density counts","No",2006,39,0.136801541425819
"46",8405," Erkinaro, J. and E. Niemel<ed>_ (2008). Juvenille Atlantic Salmon Densities in the River Teno, Finland (Finnish Game and Fisheries Research Institute). Data sent by Christoph Zockler (UNEP-WCMC).","Salmo salar","Linnaeus, 1758","Atlantic salmon","Teno River","Finland","Europe",TRUE,"Polar freshwaters","Palearctic","Individuals per 100m<8c>_","Density counts","No",2007,40.6,0.198458574181118
"47",8405," Erkinaro, J. and E. Niemel<ed>_ (2008). Juvenille Atlantic Salmon Densities in the River Teno, Finland (Finnish Game and Fisheries Research Institute). Data sent by Christoph Zockler (UNEP-WCMC).","Salmo salar","Linnaeus, 1758","Atlantic salmon","Teno River","Finland","Europe",TRUE,"Polar freshwaters","Palearctic","Individuals per 100m<8c>_","Density counts","No",2008,36.3,0.0327552986512523
"48",6115," Egglishaw, H. J. and P. E. Shackley (1977). Growth survival and production of juvenile salmon and trout in a Scottish stream 1966-75. Journal of Fish Biology 11: 647-672.| NERC Centre for Population Biology (1999). The Global Populations Dynamics Database. http://cpbnts1.bio.ic.ac.uk/gpdd/ Imperial College.","Salmo salar","Linnaeus, 1758","Atlantic salmon","Shelligan Burn, Sections ABCDE & F, Southern Perthshire","United Kingdom","Europe",TRUE,"Temperate coastal rivers","Palearctic","Individuals per m<8c>_","Sampled using stop-nets and electric stunning devices","No",1970,1.19,-1
"49",6115," Egglishaw, H. J. and P. E. Shackley (1977). Growth survival and production of juvenile salmon and trout in a Scottish stream 1966-75. Journal of Fish Biology 11: 647-672.| NERC Centre for Population Biology (1999). The Global Populations Dynamics Database. http://cpbnts1.bio.ic.ac.uk/gpdd/ Imperial College.","Salmo salar","Linnaeus, 1758","Atlantic salmon","Shelligan Burn, Sections ABCDE & F, Southern Perthshire","United Kingdom","Europe",TRUE,"Temperate coastal rivers","Palearctic","Individuals per m<8c>_","Sampled using stop-nets and electric stunning devices","No",1971,2.68,0.37962962962963
"50",6115," Egglishaw, H. J. and P. E. Shackley (1977). Growth survival and production of juvenile salmon and trout in a Scottish stream 1966-75. Journal of Fish Biology 11: 647-672.| NERC Centre for Population Biology (1999). The Global Populations Dynamics Database. http://cpbnts1.bio.ic.ac.uk/gpdd/ Imperial College.","Salmo salar","Linnaeus, 1758","Atlantic salmon","Shelligan Burn, Sections ABCDE & F, Southern Perthshire","United Kingdom","Europe",TRUE,"Temperate coastal rivers","Palearctic","Individuals per m<8c>_","Sampled using stop-nets and electric stunning devices","No",1972,1.96,-0.287037037037037
"51",6115," Egglishaw, H. J. and P. E. Shackley (1977). Growth survival and production of juvenile salmon and trout in a Scottish stream 1966-75. Journal of Fish Biology 11: 647-672.| NERC Centre for Population Biology (1999). The Global Populations Dynamics Database. http://cpbnts1.bio.ic.ac.uk/gpdd/ Imperial College.","Salmo salar","Linnaeus, 1758","Atlantic salmon","Shelligan Burn, Sections ABCDE & F, Southern Perthshire","United Kingdom","Europe",TRUE,"Temperate coastal rivers","Palearctic","Individuals per m<8c>_","Sampled using stop-nets and electric stunning devices","No",1973,1.63,-0.592592592592593
"52",6115," Egglishaw, H. J. and P. E. Shackley (1977). Growth survival and production of juvenile salmon and trout in a Scottish stream 1966-75. Journal of Fish Biology 11: 647-672.| NERC Centre for Population Biology (1999). The Global Populations Dynamics Database. http://cpbnts1.bio.ic.ac.uk/gpdd/ Imperial College.","Salmo salar","Linnaeus, 1758","Atlantic salmon","Shelligan Burn, Sections ABCDE & F, Southern Perthshire","United Kingdom","Europe",TRUE,"Temperate coastal rivers","Palearctic","Individuals per m<8c>_","Sampled using stop-nets and electric stunning devices","No",1974,1.61,-0.611111111111111
